num,id,Province,Place,time,ph,sol,amm,per,toc,Points,Result,Y,rain
1,147,Shandong,Linyizhongfangqiao,2015120104,7.73,11.43,3.9,4.9,0.16,6,Clean,0,0
1,149,Anhui,Chuzhouxiaoliuxiang,2015120104,7.93,9.86,3.33,3.99,0.18,6,Clean,0,0
1,150,Shandong,Linyilaogouqiao,2015120104,7.57,13.2,6.69,8.37,0.89,9,Clean,0,0
1,152,Jiangsu,Sihongdaqu,2015120104,7.74,8.38,2.29,4.55,0.28,6,Clean,0,0
1,153,Jiangsu,Xuzhouxiaohongquan,2015120104,6.04,4.49,2.7,3.45,0.45,9,Clean,0,0
1,155,Anhui,Bozhouyanji,2015120104,7.62,5.32,0.06,-1,-1,5,Clean,0,0
1,158,Sichuan,Guangyuanqingfengxia,2015120104,8.62,8.14,1.17,1.39,0.05,4,Clean,0,0
1,161,Anhui,Fuyangzhangdaqiao,2015120104,7.65,4.71,2.5,2.9,0.36,9,Clean,0,0
1,162,Henan,Xinyangjiangjishuiwenzhan,2015120104,7.98,9.54,1,5.1,0.4,5,Clean,0,0
1,164,Jiangsu,Xuzhoulijiqiao,2015120104,7.77,10.14,4.1,7.22,0.75,8,Clean,0,0
1,166,Anhui,Fuyangxuzhuang,2015120104,8.25,8.92,4.97,5.84,0.48,7,Clean,0,0
1,167,Guizhou,Chishuilianyuxi,2015120104,7.81,9.89,3.25,9999,0.26,6,Clean,0,2.9
1,168,Hubei,Ezhouqixing,2015120104,7.89,9.62,3.49,9999,0.26,6,Clean,0,0
1,173,Hunan,Changdepotou,2015120104,7.88,10.24,3.59,9999,0.1,5,Clean,0,0
1,175,Hunan,Changdeshahekou,2015120104,7.9,-1,0.96,9999,0.67,5,Clean,0,0
1,176,Hunan,Yiyangnanzui,2015120104,9.68,13.73,1.69,9999,0.31,14,Polluted,1,0
1,177,Yunnan,Yuxigushan,2015120104,8.76,7.49,0.82,9999,0.04,5,Clean,0,0
1,178,Ningxia,Shizuishanmahuanggou,2015120104,8.27,8,1.4,9999,0.39,5,Clean,0,0
1,179,Gansu,Tianshuiniubei,2015120104,7.94,8.43,3.2,9999,0.28,6,Clean,0,0
1,180,Jilin,Jianshanghuolong,2015120104,8.76,-1,1.92,9999,0.31,4,Clean,0,0
1,181,Qinghai,Huangshuiminheqiao,2015120104,8.47,9.26,3.03,9999,2.43,14,Polluted,1,0
1,182,Neimenggu,Hulunbeiercuogang,2015120104,7.34,5.36,6.5,9999,0.03,9,Clean,0,0
1,183,Neimenggu,Hulunbeierdatieqiao,2015120104,7.15,10.41,3.53,9999,0.12,5,Clean,0,0
1,184,Hunan,Yiyangwanjiazui,2015120104,8.88,10.94,3.57,9999,0.1,5,Clean,0,0
1,185,Heilongjiang,Huma,2015120104,8.19,11.76,7.71,9999,0.33,8,Clean,0,0
1,186,Jilin,Linjiangweishahe,2015120104,7.76,2.71,2.78,9999,0.21,13,Polluted,1,0
1,187,Jilin,Changbailvjiangcun,2015120104,7.2,16.52,1.05,9999,0.17,5,Clean,0,0
1,188,Jilin,Dunhuaxindian,2015120104,7.61,11.02,3.4,9999,0.38,6,Clean,0,0
1,189,Jilin,Xilangkou,2015120104,7.08,10.63,2.55,9999,0.42,6,Clean,0,0
1,190,Hainan,Changhuajiang,2015120104,7.1,7.18,1.27,9999,0.13,5,Clean,0,0
1,192,Hainan,Haikoutieqiaocun,2015120104,7.59,6.67,7,9999,0.16,9,Clean,0,0
1,193,Jiangxi,Jiujiangduchang,2015120104,7.05,8.11,2.52,9999,0.2,6,Clean,0,0
1,195,Jilin,Songyuansonglin,2015120104,8.56,14.72,2.1,9999,0.96,7,Clean,0,0
1,196,Heilongjiang,Jiayin,2015120104,7.39,10.6,7.19,9999,0.19,8,Clean,0,0
1,197,Yunnan,Dalixiaoguanyi,2015120104,8.63,8.38,2.82,9999,2.72,14,Polluted,1,0
